 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 19, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Lead.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 450.00 MeV   5.194E-01  1.031E-04  167.92 mm     8.06 mm    13.93 mm  
 500.00 MeV   4.981E-01  9.369E-05  197.36 mm     9.47 mm    16.11 mm  
 550.00 MeV   4.808E-01  8.592E-05  227.97 mm    10.82 mm    18.33 mm  
 600.00 MeV   4.667E-01  7.938E-05  259.61 mm    12.13 mm    20.58 mm  
 650.00 MeV   4.550E-01  7.380E-05  292.14 mm    13.38 mm    22.84 mm  
 700.00 MeV   4.452E-01  6.898E-05  325.47 mm    14.61 mm    25.10 mm  
 800.00 MeV   4.298E-01  6.107E-05  394.09 mm    18.27 mm    29.64 mm  
 900.00 MeV   4.186E-01  5.484E-05  464.89 mm    21.54 mm    34.15 mm  
   1.00 GeV   4.102E-01  4.981E-05  537.41 mm    24.54 mm    38.61 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  3.2971E-01                 eV / Angstrom 
  3.2971E+00                keV / micron   
  3.2971E+00                MeV / mm       
  2.9066E-03                keV / (ug/cm2) 
  2.9066E-03                MeV / (mg/cm2) 
  2.9066E+00                keV / (mg/cm2) 
  1.0000E+00                 eV / (1E15 atoms/cm2)
  1.3271E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
