 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 03, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Fe-Mg-Si- O.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.3200E+00 g/cm3 = 7.1295E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    022.22    044.26   
     Mg     12    022.22    019.26   
     Si     14    011.11    011.13   
      O      8    044.44    025.36   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / (1E15 atoms/cm2)
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 500.00 MeV   1.003E-01  2.228E-05  449.75 mm    18.27 mm    16.19 mm  
 550.00 MeV   9.654E-02  2.040E-05  520.86 mm    21.03 mm    18.48 mm  
 600.00 MeV   9.348E-02  1.883E-05  594.52 mm    23.63 mm    20.81 mm  
 650.00 MeV   9.093E-02  1.749E-05  670.41 mm    26.13 mm    23.16 mm  
 700.00 MeV   8.879E-02  1.633E-05  748.29 mm    28.53 mm    25.52 mm  
 800.00 MeV   8.541E-02  1.443E-05  909.04 mm    36.77 mm    30.26 mm  
 900.00 MeV   8.292E-02  1.294E-05    1.08 m     43.94 mm    34.99 mm  
   1.00 GeV   8.103E-02  1.174E-05    1.25 m     50.43 mm    39.68 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  7.1295E-01                 eV / Angstrom 
  7.1295E+00                keV / micron   
  7.1295E+00                MeV / mm       
  2.1475E-02                keV / (ug/cm2) 
  2.1475E-02                MeV / (mg/cm2) 
  2.1475E+01                keV / (mg/cm2) 
  1.0000E+00                 eV / (1E15 atoms/cm2)
  6.4965E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
